Timestamp (s),X-Position (%),Y-Position (%)
277679,35,34
277745,33,35
283175,33,32
283405,33,32
284310,35,35
284480,39,40
284644,39,42
284775,40,44
284945,41,44
285937,33,32
292913,41,44
293813,37,38
293877,37,38
294078,41,46
294277,42,47
294508,36,31
304440,34,32
308272,35,34
312270,37,38
312703,37,37
314172,33,31
314667,35,33
315301,34,32
315371,34,32
315640,33,32
315900,37,38
316035,35,36
316275,34,34
316335,34,33
316435,33,32
316675,35,33
317110,36,38
317310,37,38
317410,39,40
318010,34,32
318275,43,49
318574,35,32
318774,35,32
318939,35,31
319409,34,32
319634,34,32
319769,38,45
319969,35,31
320309,35,32
320504,35,33
320804,34,31
320904,34,32
320933,35,33
321133,35,32
321468,35,32
322003,35,32
322438,34,31
322903,34,31
323138,34,33
323308,36,34
323538,33,31
324268,35,32
324503,38,37
324608,38,40
324767,43,45
325072,42,44
325272,28,33
325407,31,32
325607,33,32
325872,34,33
326907,34,33
327007,34,34
327442,34,34
327571,34,33
328141,34,33
328306,36,33
328506,36,34
328701,35,34
329506,34,33
329870,36,34
331769,33,31
332034,33,31
332204,35,33
332265,35,33
332504,36,33
334470,35,33
335231,34,33
336169,37,38
336566,35,33
337400,37,39
339738,34,31
340402,37,37
340571,34,33
341067,37,37
341668,35,32
342037,35,33
344970,35,34
345363,35,34
345605,35,35
347042,33,31
347783,36,36
348110,37,37
349299,34,32
350937,36,36
354299,36,40
354434,38,40
355203,35,34
355368,36,39
356270,36,34
356895,36,36
358064,33,31
358964,33,31
360432,35,34
370930,34,32
373124,34,32
373364,29,25
373429,29,26
373829,31,25
374099,31,25
374229,32,26
374629,33,26
374859,34,33
375399,31,24
375928,31,25
376163,30,25
376363,30,26
376458,29,25
376664,29,26
377093,37,36
377298,30,26
377398,30,26
377598,30,26
377793,31,26
378128,31,25
378362,33,26
378523,34,26
378757,33,27
379427,30,25
379762,31,27
380122,31,25
380222,31,25
380661,35,34
380761,36,35
380962,40,37
381127,25,24
381196,30,27
381292,32,25
381496,34,25
